Date,España,Italia,Alemania
2020-01-22 00:00:00+00:00,0,0,0
2020-01-23 00:00:00+00:00,0,0,0
2020-01-24 00:00:00+00:00,0,0,0
2020-01-25 00:00:00+00:00,0,0,0
2020-01-26 00:00:00+00:00,0,0,0
2020-01-27 00:00:00+00:00,0,0,1
2020-01-28 00:00:00+00:00,0,0,4
2020-01-29 00:00:00+00:00,0,0,4
2020-01-30 00:00:00+00:00,0,0,4
2020-01-31 00:00:00+00:00,0,2,5
2020-02-01 00:00:00+00:00,1,2,8
2020-02-02 00:00:00+00:00,1,2,10
2020-02-03 00:00:00+00:00,1,2,12
2020-02-04 00:00:00+00:00,1,2,12
2020-02-05 00:00:00+00:00,1,2,12
2020-02-06 00:00:00+00:00,1,2,12
2020-02-07 00:00:00+00:00,1,3,13
2020-02-08 00:00:00+00:00,1,3,13
2020-02-09 00:00:00+00:00,2,3,14
2020-02-10 00:00:00+00:00,2,3,14
2020-02-11 00:00:00+00:00,2,3,16
2020-02-12 00:00:00+00:00,2,3,16
2020-02-13 00:00:00+00:00,2,3,16
2020-02-14 00:00:00+00:00,2,3,16
2020-02-15 00:00:00+00:00,2,3,16
2020-02-16 00:00:00+00:00,2,3,16
2020-02-17 00:00:00+00:00,2,3,16
2020-02-18 00:00:00+00:00,2,3,16
2020-02-19 00:00:00+00:00,2,3,16
2020-02-20 00:00:00+00:00,2,3,16
2020-02-21 00:00:00+00:00,2,20,16
2020-02-22 00:00:00+00:00,2,62,16
2020-02-23 00:00:00+00:00,2,155,16
2020-02-24 00:00:00+00:00,2,229,16
2020-02-25 00:00:00+00:00,6,322,16
2020-02-26 00:00:00+00:00,13,453,21
2020-02-27 00:00:00+00:00,15,655,26
2020-02-28 00:00:00+00:00,32,888,53
2020-02-29 00:00:00+00:00,45,1128,66
2020-03-01 00:00:00+00:00,84,1694,117
2020-03-02 00:00:00+00:00,120,2036,150
2020-03-03 00:00:00+00:00,165,2502,188
2020-03-04 00:00:00+00:00,222,3089,240
2020-03-05 00:00:00+00:00,259,3858,349
2020-03-06 00:00:00+00:00,400,4636,534
2020-03-07 00:00:00+00:00,500,5883,684
2020-03-08 00:00:00+00:00,673,7375,847
2020-03-09 00:00:00+00:00,1073,9172,1112
2020-03-10 00:00:00+00:00,1695,10149,1296
2020-03-11 00:00:00+00:00,2277,12462,1567
2020-03-12 00:00:00+00:00,2277,15113,2369
2020-03-13 00:00:00+00:00,5232,17660,3062
2020-03-14 00:00:00+00:00,6391,21157,3795
2020-03-15 00:00:00+00:00,7798,24747,4838
2020-03-16 00:00:00+00:00,9942,27980,6012
2020-03-17 00:00:00+00:00,11748,31506,7156
2020-03-18 00:00:00+00:00,13910,35713,8198
2020-03-19 00:00:00+00:00,17963,41035,10999
2020-03-20 00:00:00+00:00,20410,47021,13957
2020-03-21 00:00:00+00:00,25374,53578,16662
2020-03-22 00:00:00+00:00,28768,59138,18610
2020-03-23 00:00:00+00:00,35136,63927,22672
