GASTOS CONTRATO MEDIACIÓN AÑOS 2011 A 2017;;;;;;;
;;;;;;;
TABLÓN DE RADIO;2011;2012;2013;2014;2015;2016;2017
;;;;;;;
ARAGÓN RADIO;4.962,74 €;6.306,40 €;6.306,28 €;6.306,40 €;4.413,30 €;5.328,89 €;0,00 €
RADIO ZARAGOZA;31.520,26 €;31.520,26 €;31.520,26 €;31.520,26 €;31.520,26 €;31.520,26 €;31.520,26 €
ABC PUNTO RADIO;21.268,15 €;21.268,17 €;5.281,05 €;;;;
COPE;16.459,63 €;16.459,63 €;16.459,63 €;16.459,63 €;16.459,63 €;16.459,63 €;16.459,63 €
ONDA CERO;10.872,20 €;10.872,21 €;10.872,21 €;10.872,21 €;10.872,20 €;10.872,20 €;10.872,20 €
RADIO EBRO;7.315,39 €;7.315,42 €;7.315,54 €;7.315,30 €;7.315,41 €;7.315,41 €;7.315,41 €
RADIO INTERECONOMIA;3.152,73 €;5.878,76 €;1.469,70 €;;;;
ES RADIO ZARAGOZA;;;18.112,26 €;8.838,25 €;6.644,72 €;6.644,72 €;6.644,72 €
LATINA FM;;709,47 €;1.051,73 €;;;;
OLIMPICA FM;2.768,67 €;2.128,41 €;;;;;
;;;;;;;
TABLÓN DE PRENSA;2011;2012;2013;2014;2015;2016;2017
;;;;;;;
EL PERIÓDICO DE ARAGÓN;41.972,04 €;38.475,53 €;62.613,77 €;43.932,76 €;40.313,13 €;31.710,73 €;17.264,40 €
HERALDO DE ARAGÓN;38.832,87 €;20.567,94 €;;;0,00 €;19.021,50 €;29.577,27 €
;;;;;;;
ACCIONES ESPECIALES;2011;2012;2013;2014;2015;2016;2017
;;;;;;;
EL PERIÓDICO DE ARAGÓN;26.687,28 €;;8.289,67 €;15.881,24 €;40.296,07 €;27.043,76 €;8.143,30 €
HERALDO DE ARAGON ;59.023,40 €;;16.125,00 €;17.291,89 €;44.026,33 €;12.561,97 €;10.205,62 €
ABC  ;2.662,00 €;;;;;;
MARCA ;4.677,86 €;;3.049,20 €;;;;
20 Minutos;13.284,35 €;;;12.170,97 €;;;
ADN;5.357,88 €;;;;;;
ARAGON UNIVERSIDAD;508,20 €;;;;;;
ARAGON TV;13.001,45 €;;;;;;
ZTV;2.420,00 €;;8.399,94 €;;;;
13 TV;;12.909,49 €;;;;;
SER;6.753,70 €;;25.909,08 €;21.804,20 €;19.714,29 €;15.771,38 €;28.354,19 €
COPE;6.537,57 €;;;15.750,00 €;25.837,13 €;14.031,21 €;14.535,99 €
ONDA CERO;6.353,88 €;21.272,53 €;24.148,39 €;1.815,00 €;18.693,29 €;16.220,05 €;13.718,94 €
ABC RADIO;3.616,57 €;6.288,98 €;;;;;
RADIO EBRO;1.488,30 €;17.366,40 €;;;2.843,50 €;6.266,87 €;9.742,32 €
ARAGON RADIO;1.297,12 €;;;;;;
RADIO ;;;19.539,01 €;;;;
aragondigital;1.089,00 €;;;;2.815,00 €;605,00 €;726,00 €
aragonex.com;;;3.125,43 €;;;;
arainfo;;;;;1.452,00 €;;6.292,00 €
conpequesenzgz.com;1.210,00 €;1.209,96 €;1.613,32 €;744,15 €;;;
diarioaragones;;14.824,56 €;;;;;
eldiario.es;;;;;1.899,85 €;;
eleconomista.es;;;;;;2.500,00 €;
GO! Menudasideas, Ideas a Mares;1.220,41 €;1.361,25 €;1.988,33 €;1.415,69 €;2.904,00 €;363,00 €;
sevilladirecto.com;;;3.049,20 €;;;;
soydezaragoza.es;;;;;1.452,00 €;;
temzaragoza.es;;;;;5.445,00 €;;726,00 €
voygratis.com;;381,15 €;;;;;
GASTRO ARAGÓN;3.025,00 €;;1.524,60 €;635,25 €;;;
HORECA;;;1.016,40 €;;;;
Revista La Calle;;;762,30 €;635,25 €;;;
CRONICA DE ARAGON;;1.210,00 €;889,35 €;5.443,22 €;;;
METRO BCN MADRID;;;7.366,00 €;;;;
;;;;;;;
TABLÓN DIGITAL;2011;2012;2013;2014;2015;2016;2017
;;;;;;;
elperiodicodearagon.es, redaragon.com;;;;;;;20.328,00 €
heraldo.es;;;;;;18.825,18 €;4.707,30 €
aragondigital.es;;;;;;;5.808,00 €
arainfo.org;;;;;;10.164,00 €;13.574,40 €
eldiario.es/aragon;;;;;;14.995,53 €;13.610,06 €
europapress.es/aragon;;;;;;;3.388,00 €
soydezaragoza.es;;;;;;;3.872,00 €
diarioaragones.com;;;;;;;3.872,00 €
conpequesenzgz.com,eventoszaragoza, menudasideas, igastroaragon.com, tenzaragoza.es y zaragozabuenas noticias.com, elpollourbano.es;;;;;;;20.691,00 €
